Match,Game_Number,home,away
Bologna-Salernitana,1,Bologna,Salernitana
Cagliari-Spezia,1,Cagliari,Spezia
Empoli-Lazio,1,Empoli,Lazio
Inter-Genoa,1,Inter,Genoa
Napoli-Venezia,1,Napoli,Venezia
Roma-Fiorentina,1,Roma,Fiorentina
Sampdoria-Milan,1,Sampdoria,Milan
Torino-Atalanta,1,Torino,Atalanta
Udinese-Juventus,1,Udinese,Juventus
Verona-Sassuolo,1,Verona,Sassuolo
Atalanta-Fiorentina,3,Atalanta,Fiorentina
Bologna-Verona,3,Bologna,Verona
Cagliari-Genoa,3,Cagliari,Genoa
Empoli-Venezia,3,Empoli,Venezia
Milan-Lazio,3,Milan,Lazio
Napoli-Juventus,3,Napoli,Juventus
Roma-Sassuolo,3,Roma,Sassuolo
Sampdoria-Inter,3,Sampdoria,Inter
Spezia-Udinese,3,Spezia,Udinese
Torino-Salernitana,3,Torino,Salernitana
Atalanta-Sassuolo,5,Atalanta,Sassuolo
Bologna-Genoa,5,Bologna,Genoa
Cagliari-Empoli,5,Cagliari,Empoli
Fiorentina-Inter,5,Fiorentina,Inter
Milan-Venezia,5,Milan,Venezia
Roma-Udinese,5,Roma,Udinese
Salernitana-Verona,5,Salernitana,Verona
Sampdoria-Napoli,5,Sampdoria,Napoli
Spezia-Juventus,5,Spezia,Juventus
Torino-Lazio,5,Torino,Lazio
Atalanta-Milan,7,Atalanta,Milan
Bologna-Lazio,7,Bologna,Lazio
Cagliari-Venezia,7,Cagliari,Venezia
Fiorentina-Napoli,7,Fiorentina,Napoli
Roma-Empoli,7,Roma,Empoli
Salernitana-Genoa,7,Salernitana,Genoa
Sampdoria-Udinese,7,Sampdoria,Udinese
Sassuolo-Inter,7,Sassuolo,Inter
Torino-Juventus,7,Torino,Juventus
Verona-Spezia,7,Verona,Spezia
Atalanta-Udinese,9,Atalanta,Udinese
Bologna-Milan,9,Bologna,Milan
Fiorentina-Cagliari,9,Fiorentina,Cagliari
Inter-Juventus,9,Inter,Juventus
Roma-Napoli,9,Roma,Napoli
Salernitana-Empoli,9,Salernitana,Empoli
Sampdoria-Spezia,9,Sampdoria,Spezia
Sassuolo-Venezia,9,Sassuolo,Venezia
Torino-Genoa,9,Torino,Genoa
Verona-Lazio,9,Verona,Lazio
Atalanta-Lazio,11,Atalanta,Lazio
Bologna-Cagliari,11,Bologna,Cagliari
Fiorentina-Spezia,11,Fiorentina,Spezia
Genoa-Venezia,11,Genoa,Venezia
Inter-Udinese,11,Inter,Udinese
Roma-Milan,11,Roma,Milan
Salernitana-Napoli,11,Salernitana,Napoli
Sassuolo-Empoli,11,Sassuolo,Empoli
Torino-Sampdoria,11,Torino,Sampdoria
Verona-Juventus,11,Verona,Juventus
Atalanta-Spezia,13,Atalanta,Spezia
Bologna-Venezia,13,Bologna,Venezia
Fiorentina-Milan,13,Fiorentina,Milan
Genoa-Roma,13,Genoa,Roma
Inter-Napoli,13,Inter,Napoli
Lazio-Juventus,13,Lazio,Juventus
Salernitana-Sampdoria,13,Salernitana,Sampdoria
Sassuolo-Cagliari,13,Sassuolo,Cagliari
Torino-Udinese,13,Torino,Udinese
Verona-Empoli,13,Verona,Empoli
Atalanta-Venezia,15,Atalanta,Venezia
Bologna-Roma,15,Bologna,Roma
Fiorentina-Sampdoria,15,Fiorentina,Sampdoria
Genoa-Milan,15,Genoa,Milan
Inter-Spezia,15,Inter,Spezia
Lazio-Udinese,15,Lazio,Udinese
Salernitana-Juventus,15,Salernitana,Juventus
Sassuolo-Napoli,15,Sassuolo,Napoli
Torino-Empoli,15,Torino,Empoli
Verona-Cagliari,15,Verona,Cagliari
Fiorentina-Salernitana,17,Fiorentina,Salernitana
Genoa-Sampdoria,17,Genoa,Sampdoria
Inter-Cagliari,17,Inter,Cagliari
Napoli-Empoli,17,Napoli,Empoli
Roma-Spezia,17,Roma,Spezia
Sassuolo-Lazio,17,Sassuolo,Lazio
Torino-Bologna,17,Torino,Bologna
Udinese-Milan,17,Udinese,Milan
Venezia-Juventus,17,Venezia,Juventus
Verona-Atalanta,17,Verona,Atalanta
Empoli-Milan,19,Empoli,Milan
Genoa-Atalanta,19,Genoa,Atalanta
Inter-Torino,19,Inter,Torino
Juventus-Cagliari,19,Juventus,Cagliari
Napoli-Spezia,19,Napoli,Spezia
Roma-Sampdoria,19,Roma,Sampdoria
Sassuolo-Bologna,19,Sassuolo,Bologna
Udinese-Salernitana,19,Udinese,Salernitana
Venezia-Lazio,19,Venezia,Lazio
Verona-Fiorentina,19,Verona,Fiorentina
Cagliari-Bologna,21,Cagliari,Bologna
Empoli-Sassuolo,21,Empoli,Sassuolo
Genoa-Spezia,21,Genoa,Spezia
Inter-Lazio,21,Inter,Lazio
Napoli-Sampdoria,21,Napoli,Sampdoria
Roma-Juventus,21,Roma,Juventus
Torino-Fiorentina,21,Torino,Fiorentina
Udinese-Atalanta,21,Udinese,Atalanta
Venezia-Milan,21,Venezia,Milan
Verona-Salernitana,21,Verona,Salernitana
Cagliari-Fiorentina,23,Cagliari,Fiorentina
Empoli-Roma,23,Empoli,Roma
Genoa-Udinese,23,Genoa,Udinese
Inter-Venezia,23,Inter,Venezia
Lazio-Atalanta,23,Lazio,Atalanta
Milan-Juventus,23,Milan,Juventus
Napoli-Salernitana,23,Napoli,Salernitana
Spezia-Sampdoria,23,Spezia,Sampdoria
Torino-Sassuolo,23,Torino,Sassuolo
Verona-Bologna,23,Verona,Bologna
Atalanta-Juventus,25,Atalanta,Juventus
Empoli-Cagliari,25,Empoli,Cagliari
Genoa-Salernitana,25,Genoa,Salernitana
Lazio-Bologna,25,Lazio,Bologna
Milan-Sampdoria,25,Milan,Sampdoria
Napoli-Inter,25,Napoli,Inter
Sassuolo-Roma,25,Sassuolo,Roma
Spezia-Fiorentina,25,Spezia,Fiorentina
Torino-Venezia,25,Torino,Venezia
Verona-Udinese,25,Verona,Udinese
Atalanta-Sampdoria,27,Atalanta,Sampdoria
Empoli-Juventus,27,Empoli,Juventus
Genoa-Inter,27,Genoa,Inter
Lazio-Napoli,27,Lazio,Napoli
Milan-Udinese,27,Milan,Udinese
Salernitana-Bologna,27,Salernitana,Bologna
Sassuolo-Fiorentina,27,Sassuolo,Fiorentina
Spezia-Roma,27,Spezia,Roma
Torino-Cagliari,27,Torino,Cagliari
Verona-Venezia,27,Verona,Venezia
Atalanta-Genoa,29,Atalanta,Genoa
Fiorentina-Bologna,29,Fiorentina,Bologna
Lazio-Venezia,29,Lazio,Venezia
Milan-Empoli,29,Milan,Empoli
Salernitana-Sassuolo,29,Salernitana,Sassuolo
Sampdoria-Juventus,29,Sampdoria,Juventus
Spezia-Cagliari,29,Spezia,Cagliari
Torino-Inter,29,Torino,Inter
Udinese-Roma,29,Udinese,Roma
Verona-Napoli,29,Verona,Napoli
Atalanta-Napoli,31,Atalanta,Napoli
Fiorentina-Empoli,31,Fiorentina,Empoli
Juventus-Inter,31,Juventus,Inter
Lazio-Sassuolo,31,Lazio,Sassuolo
Milan-Bologna,31,Milan,Bologna
Salernitana-Torino,31,Salernitana,Torino
Sampdoria-Roma,31,Sampdoria,Roma
Spezia-Venezia,31,Spezia,Venezia
Udinese-Cagliari,31,Udinese,Cagliari
Verona-Genoa,31,Verona,Genoa
Atalanta-Verona,33,Atalanta,Verona
Cagliari-Sassuolo,33,Cagliari,Sassuolo
Fiorentina-Venezia,33,Fiorentina,Venezia
Juventus-Bologna,33,Juventus,Bologna
Lazio-Torino,33,Lazio,Torino
Milan-Genoa,33,Milan,Genoa
Napoli-Roma,33,Napoli,Roma
Sampdoria-Salernitana,33,Sampdoria,Salernitana
Spezia-Inter,33,Spezia,Inter
Udinese-Empoli,33,Udinese,Empoli
Atalanta-Salernitana,35,Atalanta,Salernitana
Cagliari-Verona,35,Cagliari,Verona
Empoli-Torino,35,Empoli,Torino
Juventus-Venezia,35,Juventus,Venezia
Milan-Fiorentina,35,Milan,Fiorentina
Napoli-Sassuolo,35,Napoli,Sassuolo
Roma-Bologna,35,Roma,Bologna
Sampdoria-Genoa,35,Sampdoria,Genoa
Spezia-Lazio,35,Spezia,Lazio
Udinese-Inter,35,Udinese,Inter
Bologna-Sassuolo,37,Bologna,Sassuolo
Cagliari-Inter,37,Cagliari,Inter
Empoli-Salernitana,37,Empoli,Salernitana
Juventus-Lazio,37,Juventus,Lazio
Milan-Atalanta,37,Milan,Atalanta
Napoli-Genoa,37,Napoli,Genoa
Roma-Venezia,37,Roma,Venezia
Sampdoria-Fiorentina,37,Sampdoria,Fiorentina
Udinese-Spezia,37,Udinese,Spezia
Verona-Torino,37,Verona,Torino
Atalanta-Bologna,2,Atalanta,Bologna
Fiorentina-Torino,2,Fiorentina,Torino
Genoa-Napoli,2,Genoa,Napoli
Juventus-Empoli,2,Juventus,Empoli
Lazio-Spezia,2,Lazio,Spezia
Milan-Cagliari,2,Milan,Cagliari
Salernitana-Roma,2,Salernitana,Roma
Sassuolo-Sampdoria,2,Sassuolo,Sampdoria
Udinese-Venezia,2,Udinese,Venezia
Verona-Inter,2,Verona,Inter
Empoli-Sampdoria,4,Empoli,Sampdoria
Genoa-Fiorentina,4,Genoa,Fiorentina
Inter-Bologna,4,Inter,Bologna
Juventus-Milan,4,Juventus,Milan
Lazio-Cagliari,4,Lazio,Cagliari
Salernitana-Atalanta,4,Salernitana,Atalanta
Sassuolo-Torino,4,Sassuolo,Torino
Udinese-Napoli,4,Udinese,Napoli
Venezia-Spezia,4,Venezia,Spezia
Verona-Roma,4,Verona,Roma
Empoli-Bologna,6,Empoli,Bologna
Genoa-Verona,6,Genoa,Verona
Inter-Atalanta,6,Inter,Atalanta
Juventus-Sampdoria,6,Juventus,Sampdoria
Lazio-Roma,6,Lazio,Roma
Napoli-Cagliari,6,Napoli,Cagliari
Sassuolo-Salernitana,6,Sassuolo,Salernitana
Spezia-Milan,6,Spezia,Milan
Udinese-Fiorentina,6,Udinese,Fiorentina
Venezia-Torino,6,Venezia,Torino
Cagliari-Sampdoria,8,Cagliari,Sampdoria
Empoli-Atalanta,8,Empoli,Atalanta
Genoa-Sassuolo,8,Genoa,Sassuolo
Juventus-Roma,8,Juventus,Roma
Lazio-Inter,8,Lazio,Inter
Milan-Verona,8,Milan,Verona
Napoli-Torino,8,Napoli,Torino
Spezia-Salernitana,8,Spezia,Salernitana
Udinese-Bologna,8,Udinese,Bologna
Venezia-Fiorentina,8,Venezia,Fiorentina
Cagliari-Roma,10,Cagliari,Roma
Empoli-Inter,10,Empoli,Inter
Juventus-Sassuolo,10,Juventus,Sassuolo
Lazio-Fiorentina,10,Lazio,Fiorentina
Milan-Torino,10,Milan,Torino
Napoli-Bologna,10,Napoli,Bologna
Sampdoria-Atalanta,10,Sampdoria,Atalanta
Spezia-Genoa,10,Spezia,Genoa
Udinese-Verona,10,Udinese,Verona
Venezia-Salernitana,10,Venezia,Salernitana
Cagliari-Atalanta,12,Cagliari,Atalanta
Empoli-Genoa,12,Empoli,Genoa
Juventus-Fiorentina,12,Juventus,Fiorentina
Lazio-Salernitana,12,Lazio,Salernitana
Milan-Inter,12,Milan,Inter
Napoli-Verona,12,Napoli,Verona
Sampdoria-Bologna,12,Sampdoria,Bologna
Spezia-Torino,12,Spezia,Torino
Udinese-Sassuolo,12,Udinese,Sassuolo
Venezia-Roma,12,Venezia,Roma
Cagliari-Salernitana,14,Cagliari,Salernitana
Empoli-Fiorentina,14,Empoli,Fiorentina
Juventus-Atalanta,14,Juventus,Atalanta
Milan-Sassuolo,14,Milan,Sassuolo
Napoli-Lazio,14,Napoli,Lazio
Roma-Torino,14,Roma,Torino
Sampdoria-Verona,14,Sampdoria,Verona
Spezia-Bologna,14,Spezia,Bologna
Udinese-Genoa,14,Udinese,Genoa
Venezia-Inter,14,Venezia,Inter
Bologna-Fiorentina,16,Bologna,Fiorentina
Cagliari-Torino,16,Cagliari,Torino
Empoli-Udinese,16,Empoli,Udinese
Juventus-Genoa,16,Juventus,Genoa
Milan-Salernitana,16,Milan,Salernitana
Napoli-Atalanta,16,Napoli,Atalanta
Roma-Inter,16,Roma,Inter
Sampdoria-Lazio,16,Sampdoria,Lazio
Spezia-Sassuolo,16,Spezia,Sassuolo
Venezia-Verona,16,Venezia,Verona
Atalanta-Roma,18,Atalanta,Roma
Bologna-Juventus,18,Bologna,Juventus
Cagliari-Udinese,18,Cagliari,Udinese
Fiorentina-Sassuolo,18,Fiorentina,Sassuolo
Lazio-Genoa,18,Lazio,Genoa
Milan-Napoli,18,Milan,Napoli
Salernitana-Inter,18,Salernitana,Inter
Sampdoria-Venezia,18,Sampdoria,Venezia
Spezia-Empoli,18,Spezia,Empoli
Torino-Verona,18,Torino,Verona
Atalanta-Torino,20,Atalanta,Torino
Bologna-Inter,20,Bologna,Inter
Fiorentina-Udinese,20,Fiorentina,Udinese
Juventus-Napoli,20,Juventus,Napoli
Lazio-Empoli,20,Lazio,Empoli
Milan-Roma,20,Milan,Roma
Salernitana-Venezia,20,Salernitana,Venezia
Sampdoria-Cagliari,20,Sampdoria,Cagliari
Sassuolo-Genoa,20,Sassuolo,Genoa
Spezia-Verona,20,Spezia,Verona
Atalanta-Inter,22,Atalanta,Inter
Bologna-Napoli,22,Bologna,Napoli
Fiorentina-Genoa,22,Fiorentina,Genoa
Juventus-Udinese,22,Juventus,Udinese
Milan-Spezia,22,Milan,Spezia
Roma-Cagliari,22,Roma,Cagliari
Salernitana-Lazio,22,Salernitana,Lazio
Sampdoria-Torino,22,Sampdoria,Torino
Sassuolo-Verona,22,Sassuolo,Verona
Venezia-Empoli,22,Venezia,Empoli
Atalanta-Cagliari,24,Atalanta,Cagliari
Bologna-Empoli,24,Bologna,Empoli
Fiorentina-Lazio,24,Fiorentina,Lazio
Inter-Milan,24,Inter,Milan
Juventus-Verona,24,Juventus,Verona
Roma-Genoa,24,Roma,Genoa
Salernitana-Spezia,24,Salernitana,Spezia
Sampdoria-Sassuolo,24,Sampdoria,Sassuolo
Udinese-Torino,24,Udinese,Torino
Venezia-Napoli,24,Venezia,Napoli
Bologna-Spezia,26,Bologna,Spezia
Cagliari-Napoli,26,Cagliari,Napoli
Fiorentina-Atalanta,26,Fiorentina,Atalanta
Inter-Sassuolo,26,Inter,Sassuolo
Juventus-Torino,26,Juventus,Torino
Roma-Verona,26,Roma,Verona
Salernitana-Milan,26,Salernitana,Milan
Sampdoria-Empoli,26,Sampdoria,Empoli
Udinese-Lazio,26,Udinese,Lazio
Venezia-Genoa,26,Venezia,Genoa
Bologna-Torino,28,Bologna,Torino
Cagliari-Lazio,28,Cagliari,Lazio
Fiorentina-Verona,28,Fiorentina,Verona
Genoa-Empoli,28,Genoa,Empoli
Inter-Salernitana,28,Inter,Salernitana
Juventus-Spezia,28,Juventus,Spezia
Napoli-Milan,28,Napoli,Milan
Roma-Atalanta,28,Roma,Atalanta
Udinese-Sampdoria,28,Udinese,Sampdoria
Venezia-Sassuolo,28,Venezia,Sassuolo
Bologna-Atalanta,30,Bologna,Atalanta
Cagliari-Milan,30,Cagliari,Milan
Empoli-Verona,30,Empoli,Verona
Genoa-Torino,30,Genoa,Torino
Inter-Fiorentina,30,Inter,Fiorentina
Juventus-Salernitana,30,Juventus,Salernitana
Napoli-Udinese,30,Napoli,Udinese
Roma-Lazio,30,Roma,Lazio
Sassuolo-Spezia,30,Sassuolo,Spezia
Venezia-Sampdoria,30,Venezia,Sampdoria
Bologna-Sampdoria,32,Bologna,Sampdoria
Cagliari-Juventus,32,Cagliari,Juventus
Empoli-Spezia,32,Empoli,Spezia
Genoa-Lazio,32,Genoa,Lazio
Inter-Verona,32,Inter,Verona
Napoli-Fiorentina,32,Napoli,Fiorentina
Roma-Salernitana,32,Roma,Salernitana
Sassuolo-Atalanta,32,Sassuolo,Atalanta
Torino-Milan,32,Torino,Milan
Venezia-Udinese,32,Venezia,Udinese
Bologna-Udinese,34,Bologna,Udinese
Empoli-Napoli,34,Empoli,Napoli
Genoa-Cagliari,34,Genoa,Cagliari
Inter-Roma,34,Inter,Roma
Lazio-Milan,34,Lazio,Milan
Salernitana-Fiorentina,34,Salernitana,Fiorentina
Sassuolo-Juventus,34,Sassuolo,Juventus
Torino-Spezia,34,Torino,Spezia
Venezia-Atalanta,34,Venezia,Atalanta
Verona-Sampdoria,34,Verona,Sampdoria
Fiorentina-Roma,36,Fiorentina,Roma
Genoa-Juventus,36,Genoa,Juventus
Inter-Empoli,36,Inter,Empoli
Lazio-Sampdoria,36,Lazio,Sampdoria
Salernitana-Cagliari,36,Salernitana,Cagliari
Sassuolo-Udinese,36,Sassuolo,Udinese
Spezia-Atalanta,36,Spezia,Atalanta
Torino-Napoli,36,Torino,Napoli
Venezia-Bologna,36,Venezia,Bologna
Verona-Milan,36,Verona,Milan
Atalanta-Empoli,38,Atalanta,Empoli
Fiorentina-Juventus,38,Fiorentina,Juventus
Genoa-Bologna,38,Genoa,Bologna
Inter-Sampdoria,38,Inter,Sampdoria
Lazio-Verona,38,Lazio,Verona
Salernitana-Udinese,38,Salernitana,Udinese
Sassuolo-Milan,38,Sassuolo,Milan
Spezia-Napoli,38,Spezia,Napoli
Torino-Roma,38,Torino,Roma
Venezia-Cagliari,38,Venezia,Cagliari
